UOID,Parent,Label,OrgName,ProgramName,Adjusted,Normalized,Outcomes,CPO,Efficacy,Evidence,Definition,OtherOutcomes,Budget,Reach,Type
All Impact Areas,,All Impact Areas,,,1554167,,"1,554,167",,,,,,,,Root
Z01,All Impact Areas,Arts,,,263165,100.00%,"263,165",,,,,,,,Impact Area
Z03,All Impact Areas,Critical Human Needs,,,386669,100.00%,"386,669",,,,,,,,Impact Area
Z04,All Impact Areas,Culture & Identity,,,60641,100.00%,"60,641",,,,,,,,Impact Area
Z05,All Impact Areas,Economic Development,,,207086,100.00%,"207,086",,,,,,,,Impact Area
Z06,All Impact Areas,Education,,,248896,100.00%,"248,896",,,,,,,,Impact Area
Z08,All Impact Areas,Public Health,,,144734,100.00%,"144,734",,,,,,,,Impact Area
Z10,All Impact Areas,Sustainability and Environment,,,82283,100.00%,"82,283",,,,,,,,Impact Area
Z12,All Impact Areas,Youth,,,160693,100.00%,"160,693",,,,,,,,Impact Area
Z01.01,Z01,Access and Appreciation,,,234183,88.99%,"234,183",,,,,,,,Focus Area
Z01.02,Z01,Creative Community,,,28982,11.01%,"28,982",,,,,,,,Focus Area
Z03.01,Z03,Child Welfare,,,7856,2.03%,"7,856",,,,,,,,Focus Area
Z03.02,Z03,Disability,,,9548,2.47%,"9,548",,,,,,,,Focus Area
Z03.03,Z03,Food Security,,,329064,85.10%,"329,064",,,,,,,,Focus Area
Z03.04,Z03,Housing,,,5369,1.39%,"5,369",,,,,,,,Focus Area
Z03.05,Z03,Homelessness,,,28084,7.26%,"28,084",,,,,,,,Focus Area
Z03.06,Z03,Elderly Care,,,6748,1.75%,"6,748",,,,,,,,Focus Area
Z04.01,Z04,Civil Rights & Equality,,,4458,7.35%,"4,458",,,,,,,,Focus Area
Z04.02,Z04,Ethnic & Religious Identity,,,41384,68.24%,"41,384",,,,,,,,Focus Area
Z04.03,Z04,Immigration,,,7649,12.61%,"7,649",,,,,,,,Focus Area
Z04.04,Z04,Jewish Engagement,,,7150,11.79%,"7,150",,,,,,,,Focus Area
Z05.01,Z05,Local Economic Development,,,100,0.05%,100,,,,,,,,Focus Area
Z05.02,Z05,Business Development & Job Creation,,,22260,10.75%,"22,260",,,,,,,,Focus Area
Z05.03,Z05,Workforce Development,,,50437,24.36%,"50,437",,,,,,,,Focus Area
Z05.04,Z05,Financial Health,,,134289,64.85%,"134,289",,,,,,,,Focus Area
Z06.01,Z06,Quality Education,,,19981,8.03%,"19,981",,,,,,,,Focus Area
Z06.02,Z06,Early Childhood Education,,,18107,7.27%,"18,107",,,,,,,,Focus Area
Z06.03,Z06,K-12 Student Achievement,,,78740,31.64%,"78,740",,,,,,,,Focus Area
Z06.04,Z06,STEM,,,31185,12.53%,"31,185",,,,,,,,Focus Area
Z06.05,Z06,College & Career Readiness,,,100883,40.53%,"100,883",,,,,,,,Focus Area
Z08.01,Z08,Healthcare Access,,,22277,15.39%,"22,277",,,,,,,,Focus Area
Z08.02,Z08,Mental Health,,,6584,4.55%,"6,584",,,,,,,,Focus Area
Z08.03,Z08,Patient Advocacy,,,10749,7.43%,"10,749",,,,,,,,Focus Area
Z08.04,Z08,Intimate Partner Violence,,,81670,56.43%,"81,670",,,,,,,,Focus Area
Z08.05,Z08,Reproductive Health,,,16572,11.45%,"16,572",,,,,,,,Focus Area
Z08.06,Z08,Substance Abuse & Addictive Behaviour,,,982,0.68%,982,,,,,,,,Focus Area
Z08.07,Z08,Obesity Prevention,,,5900,4.08%,"5,900",,,,,,,,Focus Area
Z10.01,Z10,Climate Change Mitigation & Adaptation,,,37055,45.03%,"37,055",,,,,,,,Focus Area
Z10.02,Z10,Biodiversity & Habitat Protection,,,44159,53.67%,"44,159",,,,,,,,Focus Area
Z10.03,Z10,Animal Welfare,,,1069,1.30%,"1,069",,,,,,,,Focus Area
Z12.01,Z12,Youth Development,,,160693,100.00%,"160,693",,,,,,,,Focus Area
Z01.01.01,Z01.01,Enhance Arts Appreciation,,,133550,50.75%,"133,550",$169 ,92.40%,28.6% Reliable Evidence,The demonstration of engaging in art projects that develop an appreciation of arts.,,,,Outcome
Z01.01.02,Z01.01,Reach Diverse Audiences,,,100633,38.24%,"100,633",$62 ,88.00%,9.1% Reliable Evidence,"The attainment of awareness and interest in the arts community, including the establishment of more points of entry for audiences (e.g., free shows, creative use of public spaces, etc.).",,,,Outcome
Z01.02.01,Z01.02,Strengthen Individual Creativity Skills,,,21796,8.28%,"21,796",$741 ,92.10%,28.0% Reliable Evidence,"The attainment of advanced creativity skills (e.g., performing arts, visual arts, musical skills, etc.) and completion of artistic projects (e.g., paintings, videos, theatre performances, etc.).",,,,Outcome
Z01.02.02,Z01.02,Strengthen Creative Community,,,3405,1.29%,"3,405","$10,088 ",100.00%,16.7% Reliable Evidence,"The development of a creative community that spurs economic growth in creative industries and attracts new employees (i.e., the creative class).",,,,Outcome
Z01.02.03,Z01.02,Expose New Artistic Talent,,,3781,1.44%,"3,781",$497 ,97.90%,0.0% Reliable Evidence,The attainment of opportunities for talented artists to display their work.,,,,Outcome
Z03.01.01,Z03.01,Prevent Child Abuse and Neglect,,,5100,1.32%,"5,100",N/A,N/A,N/A,The prevention of abuse and/or neglect for children that are at risk for maltreatment,,,,Outcome
Z03.01.02,Z03.01,Reduce Child Abuse and Neglect Recurrence,,,2756,0.71%,"2,756",N/A,N/A,N/A,Reductions in abuse and/or neglectm or reduction in risk-factors associated with abuse and/or neglect,,,,Outcome
Z03.02.01,Z03.02,Access to Quality Resources,,,2433,0.63%,"2,433","$1,953 ",81.70%,50.0% Reliable Evidence,"The attainment of adequate access to educational, medical, and professional, and transportation resources.​",,,,Outcome
Z03.02.02,Z03.02,Mental and Physical Well-Being,,,4863,1.26%,"4,863","$2,083 ",85.40%,55.6% Reliable Evidence,"The attainment of demonstrated improvement in mental and physical symptoms, including decreased anxiety, depression, and distress and increased strength, balance, and flexibility.",,,,Outcome
Z03.02.03,Z03.02,Social Competence,,,1247,0.32%,"1,247","$1,848 ",82.30%,40.0% Reliable Evidence,The attainment of demonstrated improved social skills and self-esteem.,,,,Outcome
Z03.02.05,Z03.02,Academic Performance,,,200,0.05%,200,"$16,396 ",96.40%,50.0% Reliable Evidence,"The attainment of adequate cognitive functioning (e.g., information processing, problem solving, etc.), leading to improved academic outcomes (e.g., improvement in mathematics, literacy, and science grades).",,,,Outcome
Z03.02.06,Z03.02,Reduce Stigma,,,805,0.21%,805,$189 ,94.00%,0.0% Reliable Evidence,The attainment of social acceptance and support of individuals with disabilities.,,,,Outcome
Z03.03.01,Z03.03,Access to Nutritious Food,,,271548,70.23%,"271,548",$171 ,91.00%,7.7% Reliable Evidence,"The attainment of consistent access to nutritious food that is both affordable and convenient (e.g., proper nutrient density/balance for age/gender, within 3 miles/25 minutes of home or work, under 35% of family income/month, etc.).",,,,Outcome
Z03.03.02,Z03.03,Healthy Food Consumption and Behaviour,,,12190,3.15%,"12,190",$457 ,83.00%,87.5% Reliable Evidence,"The attainment of knowledge of proper nutrition and food consumption (proper nutrient balance, healthy preparation and portion size, etc.), leading to the successful adoption of healthy eating behaviours.",,,,Outcome
Z03.03.03,Z03.03,Emergency Supply and Distribution of Food,,,45326,11.72%,"45,326",$708 ,89.00%,0.0% Reliable Evidence,"The targeted, timely, and temporary delivery of food supplies (and related materials) to beneficiaries in times of crisis and emergency.",,,,Outcome
Z03.04.01,Z03.04,Develop Affordable Permanent Housing,,,1170,0.30%,"1,170","$363,577 ",80.00%,12.5% Reliable Evidence,"The development of sufficient, affordable (i.e., households spend less than 40% of their income on housing) residential options to support a population, leading to decreased rates of tenant dislocation and relocation.",,,,Outcome
Z03.04.03,Z03.04,Housing Stability,,,4199,1.09%,"4,199","$3,973 ",69.50%,64.7% Reliable Evidence,"The attainment of stable, permanent housing.",,,,Outcome
Z03.05.01,Z03.05,Personal Well-Being,,,6188,1.60%,"6,188","$8,456 ",88.60%,16.7% Reliable Evidence,"The establishment of a support system that improves mental well-being, physical fitness, and financial independence.​",,,,Outcome
Z03.05.02,Z03.05,Access to Temporary Housing,,,11503,2.97%,"11,503","$2,723 ",98.60%,13.3% Reliable Evidence,"The attainment of temporary shelter (e.g., access to a homeless shelter).",,,,Outcome
Z03.05.03,Z03.05,Reduce Homelessness,,,4174,1.08%,"4,174","$6,330 ",86.80%,63.2% Reliable Evidence,"The attainment of stable, permanent housing for at least one year.​",,,,Outcome
Z03.05.04,Z03.05,Prevent Literal Homelessness through Housing Stabilization,,,5936,1.54%,"5,936",N/A,N/A,N/A,"The attainment of safe, stable housing, including the resolution of immediate housing-related issues, to prevent literal homelessness.",,,,Outcome
Z03.05.05,Z03.05,Prevent Literal Homelessness through Housing Retention,,,283,0.07%,283,N/A,N/A,N/A,"The attainment and retention of safe, stable housing for at least 60 days, including the resolution of financial issues, to prevent literal homelessness.",,,,Outcome
Z03.06.01,Z03.06,Physical Well-Being,,,100,0.03%,100,N/A,N/A,N/A,"The attainment of physical well-being (e.g., healthy eating options and behaviour, age-appropriate level of fitness, etc.).",,,,Outcome
Z03.06.03,Z03.06,Caregiver Well-Being,,,1050,0.27%,"1,050",$110 ,86.00%,100.0% Reliable Evidence,The attainment by a caregiver of mental and psychological well-being.,,,,Outcome
Z03.06.04,Z03.06,Access to Affordable Housing,,,388,0.10%,388,N/A,N/A,N/A,"The attainment of stable, permanent housing for at least one year.",,,,Outcome
Z03.06.05,Z03.06,Access to Legal and Financial Support,,,150,0.04%,150,$807 ,85.00%,0.0% Reliable Evidence,The attainment of access to adequate legal and financial support.,,,,Outcome
Z03.06.09,Z03.06,Personal Independence and Condition Management,,,3142,0.81%,"3,142",N/A,N/A,N/A,"The management of one's condition to enable personal independence (e.g., optimal capacity for self-care, adaptation to living situation, etc.).",,,,Outcome
Z03.06.10,Z03.06,Aging Awareness and Social Support,,,1918,0.50%,"1,918",$760 ,84.10%,50.0% Reliable Evidence,The attainment by an elderly person of social support to decrease social isolation and loneliness.,,,,Outcome
Z04.01.03,Z04.01,Societal Participation,,,4458,7.35%,"4,458",$279 ,97.20%,0.0% Reliable Evidence,"The attainment of the ability to participate in society (e.g., legal protection against harassment and hate crimes, legal protection against discriminatory minimum sentencing and policing practices, freedom from stereotyping, discrimination or harassment in public places, etc.).",,,,Outcome
Z04.02.02,Z04.02,Cultural Educational Experiences,,,1880,3.10%,"1,880","$1,278 ",94.50%,50.0% Reliable Evidence,"The attainment of educational experiences geared towards an ethnic / religious group, leading to a strengthened sense of cultural / religious identity.",,,,Outcome
Z04.02.03,Z04.02,Cultural Tolerance,,,20042,33.05%,"20,042",$283 ,90.50%,50.0% Reliable Evidence,"The attainment of institutional protections for ethnic / religious groups, leading to elimination of intolerance towards such groups.",,,,Outcome
Z04.02.04,Z04.02,Cultural Traditions and Heritage,,,18862,31.10%,"18,862",$307 ,88.80%,40.0% Reliable Evidence,"The attainment of preserved traditional practices from one generation to the next, including members of the ethnic / religious group maintaining positive connections to the greater community (e.g., establishing relationships across generations).",,,,Outcome
Z04.02.05,Z04.02,Ethnic or Religious Pride,,,600,0.99%,600,N/A,N/A,N/A,"The development of a stronger sense of self, including increased pride about belonging to an ethnic / religious community.",,,,Outcome
Z04.03.09,Z04.03,Access to Quality Legal Services,,,2378,3.92%,"2,378",$311 ,87.90%,0.0% Reliable Evidence,"The attainment by an immigrant of affordable, quality legal services.",,,,Outcome
Z04.03.11,Z04.03,Academic Performance,,,271,0.45%,271,N/A,N/A,N/A,"The attainment of adequate cognitive functioning (e.g., information processing, problem solving, etc.), leading to improved academic outcomes (e.g., improvement in mathematics, literacy, and science grades).",,,,Outcome
Z04.03.15,Z04.03,Cultural Traditions and Heritage,,,5000,8.25%,"5,000",N/A,N/A,N/A,"The attainment of preserved traditional practices from one generation to the next, including members of the ethnic / religious group maintaining positive connections to the greater community (e.g., establishing relationships across generations).",,,,Outcome
Z04.04.01,Z04.04,Jewish Connectivity,,,1800,2.97%,"1,800","$2,964 ",87.30%,66.7% Reliable Evidence,Develop engagement with Jewish life and/or enhance one’s connection to a Jewish network.,,,,Outcome
Z04.04.02,Z04.04,Jewish Learning and Culture,,,5250,8.66%,"5,250",$136 ,71.70%,50.0% Reliable Evidence,Develop engagement with Jewish learning and culture.,,,,Outcome
Z04.04.04,Z04.04,Israel Engagement,,,100,0.16%,100,N/A,N/A,N/A,Develop engagement with People and/or State of Israel.,,,,Outcome
Z05.01.02,Z05.01,Local Economic Growth,,,100,0.05%,100,N/A,N/A,N/A,The establishment by a municipality of local initiatives that drive economic growth.,,,,Outcome
Z05.02.01,Z05.02,Business Growth,,,5729,2.77%,"5,729","$7,337 ",70.90%,50.0% Reliable Evidence,"The attainment of the business growth through profit, revenues, or market expansion.",,,,Outcome
Z05.02.03,Z05.02,Stimulate Entrepreneurship,,,16531,7.98%,"16,531","$3,852 ",90.00%,56.0% Reliable Evidence,"The development of an advanced understanding of entrepreneurship (e.g., market knowledge, participation in new businesses, etc.).",,,,Outcome
Z05.03.01,Z05.03,Job Readiness,,,40238,19.43%,"40,238","$3,034 ",85.80%,35.2% Reliable Evidence,"The attainment of the skills, knowledge, and experience necessary to identify and acquire a sustainable, living wage position (e.g., marketable skills, skills to find a job, knowledge of job placement services, certifications, education, internship experience, etc.).",,,,Outcome
Z05.03.03,Z05.03,Acquire Employment,,,4496,2.17%,"4,496","$8,336 ",78.00%,9.5% Reliable Evidence,The attainment of non-full-time employment and the soft skills to retain the position.,,,,Outcome
