UOID,Parent,Label,Impact Area,Genome,Outcome,Benchmark CPO,Benchmark Efficacy,Benchmark Evidence,Outcomes Produced,Outcomes Adjusted
Z01,All Impact Areas,Arts,Arts,,,,,,0,1.0000000
Z02,All Impact Areas,Criminal Justice,Criminal Justice,,,,,,0,1.0000000
Z03,All Impact Areas,Critical Human Needs,Critical Human Needs,,,,,,0,1.0000000
Z04,All Impact Areas,Culture & Identity,Culture & Identity,,,,,,0,1.0000000
Z05,All Impact Areas,Economic Development,Economic Development,,,,,,0,1.0000000
Z06,All Impact Areas,Education,Education,,,,,,0,1.0000000
Z08,All Impact Areas,Public Health,Public Health,,,,,,0,1.0000000
Z09,All Impact Areas,Science & Technology,Science & Technology,,,,,,0,1.0000000
Z10,All Impact Areas,Sustainability and Environment,Sustainability and Environment,,,,,,0,1.0000000
Z12,All Impact Areas,Youth,Youth,,,,,,0,1.0000000
Z01.01,Z01,Access and Appreciation,Arts,Access and Appreciation,,,,,0,0.6808511
Z01.02,Z01,Creative Community,Arts,Creative Community,,,,,0,0.3191489
Z02.01,Z02,Crime Prevention,Criminal Justice,Crime Prevention,,,,,0,0.6000000
Z02.02,Z02,Criminal Recidivism,Criminal Justice,Criminal Recidivism,,,,,0,0.4000000
Z03.01,Z03,Child Welfare,Critical Human Needs,Child Welfare,,,,,0,0.0150943
Z03.02,Z03,Disability,Critical Human Needs,Disability,,,,,0,0.1169811
Z03.03,Z03,Food Security,Critical Human Needs,Food Security,,,,,0,0.4226415
Z03.04,Z03,Housing,Critical Human Needs,Housing,,,,,0,0.1433962
Z03.05,Z03,Homelessness,Critical Human Needs,Homelessness,,,,,0,0.2339623
Z03.06,Z03,Elderly Care,Critical Human Needs,Elderly Care,,,,,0,0.0679245
Z04.01,Z04,Civil Rights & Equality,Culture & Identity,Civil Rights & Equality,,,,,0,0.0266667
Z04.02,Z04,Ethnic & Religious Identity,Culture & Identity,Ethnic & Religious Identity,,,,,0,0.3066667
Z04.03,Z04,Immigration,Culture & Identity,Immigration,,,,,0,0.5866667
Z04.04,Z04,Jewish Engagement,Culture & Identity,Jewish Engagement,,,,,0,0.0800000
